Numero de Referencia GPC|Alcance|Fuentes de gases de efecto invernadero|Claves de Anotación (IE NE NO C)|Gases de Efecto Invernadero (tCO2e) CO2|Gases de Efecto Invernadero (tCO2e) CH4|Gases de Efecto Invernadero (tCO2e)N2O|Gases de Efecto Invernadero (tCO2e) HFC|Gases de Efecto Invernadero (tCO2e) PFC|Gases de Efecto Invernadero (tCO2e) SF6|Gases de Efecto Invernadero (tCO2e) NF3|Gases de Efecto Invernadero (tCO2e) CO2e|Gases de Efecto Invernadero (tCO2e) CO2e(b)|Calidad de los Datos (H,M,L) AD|Calidad de los Datos (H,M,L)EF|Explicación
III.1.3|1|Emisiones de residuos sólidos generados fuera del municipio y enviados a los vertederos dentro del municipio||0|0|0|||||0|0|||
III.2||Tratamiento Biológico |||||||||||||
III.2.1|1|Emisiones de residuos sólidos generados en el municipio y enviados para tratamiento biológico dentro del municipio||0|39,22|2,94|||||1877,47|0|L|L|
III.2.2|3|Emisiones de residuos sólidos generados en el municipio y enviados para tratamiento biológico fuera del municipio|NO|0|0|0|||||0|0|||
III.2.3|1|Emisiones de residuos sólidos generados fuera del municipio y enviados para tratamiento biológico dentro del municipio|NO|0|0|0|||||0|0|||
III.3||Incineración|||||||||||||
III.3.1|1|Emisiones de residuos sólidos generados en el municipio y enviados para incineración dentro del municipio|NO|0|0|0|||||0|0|||
III.3.2|3|Emisiones de residuos sólidos generados en el municipio y enviados para incineración fuera del municipio||217,36|0|0|||||217,36|0|L|L|
III.3.3|1|Emisiones de residuos sólidos generados fuera del municipio y enviados para incineración dentro del municipio|NO|0|0|0|||||0|0|||
III.4||Tratamiento y eliminación de aguas residuales|||||||||||||
III.4.1|1|Emisiones de efluentes generados y tratados dentro de los limites del municipio||0|1897,89|57,63|||||68413,41|0|L|L|
III.4.2|3|Emisiones de efluentes generados en el municipio y tratados fuera del municipio|NO|0|0|0|||||0|0|||
III.4.3|1|Emisiones de efluentes generados fuera del municipio y tratados dentro dos limites del municipio|NO|0|0|0|||||0|0|||
IV||PROCESSOS INDUSTRIALES Y USO DE PRODUCTOS (IPPU)|||||||||||||
IV.1|1|Emisiones dentro de los límites del municipio de los procesos industriales.|NE||||||||0|0|||No estimado por reportar en nivel BASIC
IV.2|1|Emisiones dentro de los límites del municipio de lo uso de productos.  |NE||||||||||||No estimado por reportar en nivel BASIC
V||AGRICULTURA, SILVICULTURA Y CAMBIO EN EL USO DEL SUELO (AFOLU)|||||||||||||
V.1|1|Emisiones de ganadería dentro de los límites del municipio|NE|0|0|0|||||0|0|||No estimado por reportar en nivel BASIC
V.2|1|Emisiones del uso del suelo dentro de los límites del municipio|NE||||||||||||No estimado por reportar en nivel BASIC
V.3|1|Emisiones de fuentes agregadas y fuentes de emisión no CO2 en la tierra dentro de los límites del municipio|NE|0|0|0|||||0|0|||No estimado por reportar en nivel BASIC
VI||OTRAS EMISIONES INDIRECTAS|||||||||||||
VI.1|3||||||||||||||No hay acceso a datos del subsector
V!.2|3||||||||||||||No hay acceso a datos del subsector
